  100		 1.06E-06		 1.85E-07
  200		 4.51E-05		 3.65E-07
  300		 1.62E-04		 6.65E-07
  400		 3.19E-04		 1.27E-06
  500		 5.04E-04		 2.28E-06
  600		 6.93E-04		 3.68E-06
  700		 8.80E-04		 5.48E-06
  800		 1.07E-03		 7.78E-06
  900		 1.25E-03		 1.06E-05
 1000		 1.43E-03		 1.41E-05
 1100		 1.61E-03		 1.81E-05
 1200		 1.79E-03		 2.29E-05
 1300		 1.98E-03		 2.87E-05
 1400		 2.17E-03		 3.58E-05
 1500		 2.37E-03		 4.45E-05
 1600		 2.60E-03		 5.52E-05
 1700		 2.87E-03		 6.87E-05
 1800		 3.17E-03		 8.53E-05
 1900		 3.53E-03		 1.05E-04
 2000		 3.94E-03		 1.30E-04
 2100		 4.54E-03		 1.58E-04
 2200		 5.36E-03		 1.90E-04
 2300		 6.25E-03		 2.25E-04
 2400		 7.21E-03		 2.64E-04
 2500		 8.22E-03		 3.05E-04
 2600		 9.27E-03		 3.49E-04
 2700		 1.04E-02		 3.95E-04
 2800		 1.15E-02		 4.42E-04
 2900		 1.26E-02		 4.91E-04
 3000		 1.37E-02		 5.41E-04
 3100		 1.48E-02		 5.91E-04
 3200		 1.60E-02		 6.41E-04
 3300		 1.71E-02		 6.91E-04
 3400		 1.82E-02		 7.41E-04
 3500		 1.93E-02		 7.90E-04
 3600		 2.04E-02		 8.39E-04
 3700		 2.15E-02		 8.87E-04
 3800		 2.26E-02		 9.34E-04
 3900		 2.36E-02		 9.80E-04
 4000		 2.46E-02		 1.02E-03
 4100		 2.55E-02		 1.07E-03
 4200		 2.64E-02		 1.11E-03
 4300		 2.73E-02		 1.15E-03
 4400		 2.81E-02		 1.19E-03
 4500		 2.89E-02		 1.22E-03
 4600		 2.96E-02		 1.26E-03
 4700		 3.03E-02		 1.29E-03
 4800		 3.09E-02		 1.32E-03
 4900		 3.15E-02		 1.35E-03
